Name,Slug,Collection ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Recource phase number,Icon,Purpose,Navigation,Collaboration,Quality,Speed,Tips for use,Steps,Section 1 image,Button link 1,Button link 2,Button link 3,Sorting order,Previous phase,Next phase,Related resources,Method phase
API Audit Checklist,api-audit-checklist-main,6101c6ebcdae68a8724b444c,610433961ca16d141ad69258,false,false,Fri Jul 30 2021 17:15:02 GMT+0000 (Coordinated Universal Time),Sat Oct 22 2022 13:34:41 GMT+0000 (Coordinated Universal Time),Sat Oct 22 2022 13:38:35 GMT+0000 (Coordinated Universal Time),4,,"Use this checklist to audit your API prototype or a ready made API before publishing it to stakeholders, or, why not before buying an API",,,,,,,,,,,8,,,,api-audit
API Business Model Canvas,api-business-model-canvas,6101c6ebcdae68a8724b444c,6101c6ebcdae68177c4b4511,false,false,Wed Jul 28 2021 07:29:39 GMT+0000 (Coordinated Universal Time),Mon Jan 27 2025 12:22:59 GMT+0000 (Coordinated Universal Time),Mon Jan 27 2025 12:23:22 GMT+0000 (Coordinated Universal Time),1,https://cdn.prod.website-files.com/60b12ba7f99f5f63ddf349aa/677ef3044c6b269c7c2a3658_apiBusinessModelCanvas.png,How feasible and reusable will this API be? Use API Business Model canvas to evaluate the business case from a cost-benefit perspective,"Start by summarizing the API Value Proposition Canvas and proceed step-by-step to assess business feasibility, including partners, activities, and consumer segments","Involves input from business strategists, API developers, and stakeholders to map partnerships, activities, and resource allocation",Ensures APIs align with business goals and provide measurable benefits while maintaining compliance with financial and strategic objectives,"By organizing resources and partners effectively, it accelerates decision-making and implementation of high-value APIs","<ul id=""""><li id="""">Begin with a single API to ensure clarity.</li><li id="""">Use metrics like cost vs. benefit to prioritize opportunities.</li><li id="""">Validate outputs with key stakeholders to align on feasibility.</li></ul>","<ol id=""""><li id="""">API Value Proposition: Summarize the API’s value to consumers</li><li id="""">API Consumer Segments: Define who the API serves.</li><li id="""">Developer Relations: Identify strategies to engage developers.</li><li id="""">Channels: Define distribution channels.</li><li id="""">Key Resources: Document critical resources.</li><li id="""">Key Activities: List necessary activities.</li><li id="""">Key Partners: Map key stakeholders and partnerships.</li><li id="""">Benefits: Highlight benefits like revenue or cost savings.</li><li id="""">Costs: Detail the associated costs.</li></ol>",https://cdn.prod.website-files.com/60b12ba7f99f5f63ddf349aa/677ef278bc81593436808fc9_apiBusinessModelCanvas.svg,https://cdn.prod.website-files.com/60b12ba7f99f5f63ddf349aa/677ef278bc81593436808fc9_apiBusinessModelCanvas.svg,,,2,api-value-proposition-canvas,business-impact-canvas,domain-canvas,api-product-strategy
API  Value Proposition Canvas,api-value-proposition-canvas,6101c6ebcdae68a8724b444c,6101c6ebcdae687cbc4b450e,false,false,Wed Jul 28 2021 07:29:39 GMT+0000 (Coordinated Universal Time),Mon Jan 27 2025 12:22:39 GMT+0000 (Coordinated Universal Time),Mon Jan 27 2025 12:23:22 GMT+0000 (Coordinated Universal Time),2,https://cdn.prod.website-files.com/60b12ba7f99f5f63ddf349aa/677ef448ffc31462e39fe306_apiValuePropositionCanvas.png,The API Value Proposition Canvas defines how an API delivers value by linking user tasks and challenges to API features.," List user journey tasks, identify pains and gains, and match features to solve problems",Requires insights from API consumers (developers) and internal teams to align features with user needs.,Ensures API features directly address user challenges and provide expected gains.,"Helps focus on high-impact features, reducing time spent on irrelevant solutions.","<ul id=""""><li>Use input from the Customer Journey Canvas.</li><li>Highlight features that relieve pains or enhance gains.</li><li>Validate features with API consumers to ensure alignment.</li></ul>","<ol id=""""><li id="""">Tasks: List user journey tasks.</li><li id="""">Gain Enabling Features: Identify features delivering expected gains.</li><li id="""">Pain Relieving Features: Define features addressing challenges.</li><li id="""">API Products: Map features to API products.</li></ol>",https://cdn.prod.website-files.com/60b12ba7f99f5f63ddf349aa/677ef4949d406bc8abc257a7_apiValuePropositionCanvas.svg,,https://cdn.prod.website-files.com/60b12ba7f99f5f63ddf349aa/677ef4949d406bc8abc257a7_apiValuePropositionCanvas.svg,,1,customer-journey-canvas,api-business-model-canvas,,api-product-strategy
Business Impact Canvas,business-impact-canvas,6101c6ebcdae68a8724b444c,6101c6ebcdae68361c4b4513,false,false,Wed Jul 28 2021 07:29:39 GMT+0000 (Coordinated Universal Time),Mon Jan 13 2025 06:32:03 GMT+0000 (Coordinated Universal Time),Mon Jan 13 2025 06:34:12 GMT+0000 (Coordinated Universal Time),4,https://cdn.prod.website-files.com/60b12ba7f99f5f63ddf349aa/677ef6f137b398116c0834c3_businessImpactCanvas.png,"The Business Impact Canvas helps to identify and mitigate risks related to API availability, security, and functionality to support informed architectural decisions.","First, identify risks, then document impacts, and map mitigation strategies.","Requires contributions from architects, developers, and business leaders to ensure risks are identified comprehensively.","Ensures APIs meet business requirements for availability, security, and data accuracy.",Proactively mitigating risks reduces downtime and avoids delays caused by unforeseen issues.,"<ul id=""""><li id="""">Prioritize critical APIs with the highest business impact.</li><li id="""">Use past incidents to identify potential risks.</li><li id="""">Include cost estimates for all mitigation strategies.</li></ul>","<ol id=""""><li>Availability Risks: Identify risks and impacts.</li><li>Ways to Mitigate Availability Risks: Define mitigation measures.</li><li>Security Risks: Document security-related risks.</li><li>Ways to Mitigate Security Risks: Propose strategies to mitigate security risks.</li><li>Data Risks: Identify risks to data accuracy or availability.</li><li>Ways to Mitigate Data Risks: Plan strategies to address data risks.</li></ol><p>‍</p>",https://cdn.prod.website-files.com/60b12ba7f99f5f63ddf349aa/677ef763ab691bb016708624_businessImpactCanvas.svg,https://cdn.prod.website-files.com/60b12ba7f99f5f63ddf349aa/677ef763ab691bb016708624_businessImpactCanvas.svg,,,3,api-business-model-canvas,capacity-canvas,,api-platform-architecture
Capacity Canvas,capacity-canvas,6101c6ebcdae68a8724b444c,6101c6ebcdae685aee4b4514,false,false,Wed Jul 28 2021 07:32:33 GMT+0000 (Coordinated Universal Time),Mon Jan 13 2025 06:13:45 GMT+0000 (Coordinated Universal Time),Mon Jan 13 2025 06:34:12 GMT+0000 (Coordinated Universal Time),5,https://cdn.prod.website-files.com/60b12ba7f99f5f63ddf349aa/677ef81d824f581a366dc723_capacityCanvas.png,"The Capacity Canvas aligns business transaction patterns, future consumption trends, and technical solutions to ensure API scalability and performance.It provides critical input for scaling decisions and infrastructure planning.","Document current usage patterns, predict future trends, and align capacity planning with these insights.","Involves developers, architects, and business leaders to ensure scalability meets projected needs.",Prepares APIs for future demand spikes and ensures they meet performance standards.,Anticipating growth trends helps avoid bottlenecks and supports rapid scaling.,"<ul id=""""><li>Use analytics to forecast growth trends.</li><li>Define peak usage scenarios.</li><li>Include scalability testing in the planning phase.</li></ul>","<ol id=""""><li>Current Business Volumes: Document usage patterns.</li><li>Future Consumption Trends: Forecast future needs.</li><li>Peak Load and Availability Requirements: Plan for peak scenarios.</li><li>Caching Strategies: Define caching approaches.</li><li>Rate-Limiting Strategies: Plan rate-limiting policies.</li><li>Scaling Strategies: Propose dynamic scaling solutions.</li></ol>",https://cdn.prod.website-files.com/60b12ba7f99f5f63ddf349aa/677ef82126f7b3e10c3c586e_capacityCanvas.svg,https://cdn.prod.website-files.com/60b12ba7f99f5f63ddf349aa/677ef82126f7b3e10c3c586e_capacityCanvas.svg,,,5,business-impact-canvas,locations-canvas,,api-platform-architecture
Customer Journey Canvas,customer-journey-canvas,6101c6ebcdae68a8724b444c,677ef33c25a553631c4eb451,false,false,Wed Jan 08 2025 21:50:52 GMT+0000 (Coordinated Universal Time),Mon Jan 13 2025 06:19:37 GMT+0000 (Coordinated Universal Time),Mon Jan 13 2025 06:34:12 GMT+0000 (Coordinated Universal Time),1,https://cdn.prod.website-files.com/60b12ba7f99f5f63ddf349aa/677ef3253b915cea53499080_customerJourneyCanvas.png,"Visualize, iterate, and optimize the target state customer journey while identifying gains and pains.","Start by mapping journey steps, identifying triggers, and resolving pain points.",Engages teams to align on customer challenges and how APIs address them.,Ensures APIs enhance customer experiences and meet user needs.,Streamlined journeys reduce delays and improve time-to-solution.,"<ul id=""""><li>Iterate with team input to refine steps.</li><li>Use outputs from this canvas to inform other canvases like the API Value Proposition Canvas.</li></ul>","<h3 id="""">Customer Discovers Need&nbsp;</h3><ol id=""""><li>Persona: Define the customer persona.</li><li>Customer Discovers Need: Identify triggers for the journey.</li><li>Customer's Need is Resolved: Describe the journey's end.</li><li>Journey Steps: Map journey steps with inputs/outputs.</li><li>Pains: Identify customer pains.</li><li>Gains: Summarize customer gains.</li><li>Inputs &amp; Outputs: Define necessary inputs and resulting outputs.</li><li>Interaction/Processing Rules: Define API interactions for each step.</li></ol>",https://cdn.prod.website-files.com/60b12ba7f99f5f63ddf349aa/677ef27ffba8d10248c522b5_customerJourneyCanvas.svg,https://cdn.prod.website-files.com/60b12ba7f99f5f63ddf349aa/677ef27ffba8d10248c522b5_customerJourneyCanvas.svg,,,1,,api-value-proposition-canvas,api-business-model-canvas; api-value-proposition-canvas; domain-canvas,api-product-strategy
Domain Canvas,domain-canvas,6101c6ebcdae68a8724b444c,6101c6ebcdae6816d84b4512,false,false,Wed Jul 28 2021 07:29:39 GMT+0000 (Coordinated Universal Time),Mon Jan 13 2025 06:25:02 GMT+0000 (Coordinated Universal Time),Mon Jan 13 2025 06:34:12 GMT+0000 (Coordinated Universal Time),3,https://cdn.prod.website-files.com/60b12ba7f99f5f63ddf349aa/677ef96a675ca17d00429739_domainCanvas.png," Define core entities, their attributes, and relationships to create a shared conceptual understanding across APIs.","Start by listing entities and their attributes, followed by defining relationships to create a holistic domain model.","Start by listing entities and their attributes, followed by defining relationships to create a holistic domain model.","Ensures data models and entities are consistent and reusable across APIs, reducing redundancy.","By defining a consistent domain model, teams can avoid rework and build APIs faster.","<ul id=""""><li>Align with outputs from the Customer Journey Canvas.</li><li>Document examples for each entity and relationship.</li><li>Validate the domain model with multiple stakeholders.</li></ul>","<ol id=""""><li>Entities: Define core entities relevant to your domain.</li><li>Attributes: Document the attributes for each entity.</li><li>Relationships: Map relationships between entities.</li><li>Shared Concepts: Identify shared concepts across APIs.</li><li>API Impact: Link domain concepts to API features or products.</li></ol>",https://cdn.prod.website-files.com/60b12ba7f99f5f63ddf349aa/677ef9abe094f8b306fc1317_domainCanvas.svg,https://cdn.prod.website-files.com/60b12ba7f99f5f63ddf349aa/677ef9abe094f8b306fc1317_domainCanvas.svg,,,6,customer-journey-canvas,business-impact-canvas,business-impact-canvas; locations-canvas; api-value-proposition-canvas; api-business-model-canvas,api-design
Facilitating Discussion with an IoT Canvas,facilitating-discussion-with-an-iot-canvas,6101c6ebcdae68a8724b444c,650a90ca6152c2eaf67bcbff,true,true,Wed Sep 20 2023 06:27:22 GMT+0000 (Coordinated Universal Time),Wed Jan 08 2025 22:27:16 GMT+0000 (Coordinated Universal Time),,9,,"One of the fundamental challenges in IoT projects is that various IT specialists, device experts, platform providers, and business experts often fail to understand one another – or, more precisely, the implications of each other's domains on their own. In the realm of IoT, business expertise encapsulates all areas where IoT is utilised.",,,,,"<p id="""">For instance, experts might oversee aspects ranging from traffic light control to transportation and environmental issues. Consequently, project planning meetings can easily devolve into a series of monologues by these experts, with interactions reminiscent of ships passing in the night.</p><p id="""">‍</p><p>‍</p>","<p id="""">Columns on the canvas represent organisational objectives, usability requirements (including environmental conditions, especially for devices), data requirements, and technology and security requirements. Rows cater to applications, storage locations, communication with devices (i.e., the core of the IoT platform), and the devices with their embedded software.</p><p id="""">The underlying principle is that moving from left to right and top to bottom, the various columns and layers influence each other and pose requirements to one another. Read in the opposite direction; they offer opportunities to each other.</p><p id="""">To maximise the benefit of the canvas, use it before letting specialists from different fields speak up. The canvas can also be leveraged in ecosystem projects, where different organisations are responsible for different canvas sections.</p><p id="""">Image 1: Canvas to conceptualise IoT solutions supporting the procurement process.</p><p id="""">Image 2: Completed canvas (anonymised version from an actual workshop)</p><p id="""">Instructions for Using the Canvas:</p><ol id=""""><li id="""">Invite the project/procurement planning team and any necessary external experts to a workshop. Participants should possess business knowledge, an understanding of the organisation/project goals, environment, and users, as well as technical expertise from various IoT and IT areas. Allocate around 1 to 1.5 hours.</li><li id="""">Collaboratively fill in the canvas shown in Image 3 using sticky notes on flip chart paper or via a digital collaboration platform. The completion is quick, but participants must be provided with brief background information and some debriefing time.</li><li id="""">Ask each participant to start with the most familiar topic or one they have any thoughts or questions about. (See examples provided after the instructions for inspiration).</li><li id="""">Review the canvas collectively, engaging in discussions and seeking clarifications where needed. Start from the left, move right, and from the top down, commencing with organisational goals and concluding with technology and security requirements. Re-arrange sticky notes and add details as necessary.</li><li id="""">Conclude by discussing the most pressing open questions and identified challenges. Decide on assigning responsibility before taking further actions (e.g., detailing objectives, mapping architecture, refining requirements, drafting guidelines, or agreeing on roles). Summarise the discussion in a few final remarks.</li></ol><p id="""">Examples of Requirements and Questions:</p><p id=""""><strong id="""">Organisational/Business Requirements:</strong>&nbsp;</p><ul id=""""><li id="""">Acceleration and fuel consumption monitoring;&nbsp;</li><li id="""">a variety of sensor types for future purposes;&nbsp;</li><li id="""">device power consumption; the impact of device lifecycle and lifespan on costs;&nbsp;</li><li id="""">clearer communication; automated data production; knowledge on what data moves where and how; reduced vendor dependency;&nbsp;</li><li id="""">cost reductions: operating vs. development costs, e.g., open-source app development vs. using a predefined interface;&nbsp;</li><li id="""">improved road safety, impact and potential business opportunities in the area.</li></ul><p id=""""><strong id="""">Usability and Environmental Resilience (devices, e.g., sensors):&nbsp;</strong></p><ul id=""""><li id="""">Easy installation;</li><li id="""">standardised installation models;&nbsp;</li><li id="""">low maintenance but maintainable;&nbsp;</li><li id="""">automated power supply (no battery replacement) and power-saving;&nbsp;</li><li id="""">ability to calibrate;&nbsp;</li><li id="""">24/7/365 reliability and durability;&nbsp;</li><li id="""">exposure to road salt, solvents, and other chemicals; temperature, humidity etc. for indoor, outdoor, and northern conditions.</li></ul><p id=""""><strong id="""">Data Requirements:&nbsp;</strong></p><ul id=""""><li id="""">What are the requirements for data and data transfer when purchasing new equipment?&nbsp;</li><li id="""">Are there any standard guidelines?&nbsp;</li><li id="""">Who/what is measured? What information can be collected (considering GDPR)? What is recognised? Ensure objectives for a data governance model are in place and outline the management model; should collected data be freely available? And to whom? Through apps or interfaces or both? Requirements related to data format and modelling.</li></ul><p id=""""><strong id="""">Technology and Security Requirements:&nbsp;</strong></p><ul id=""""><li id="""">Communication requirements and network solutions, e.g., mobile network compatibility;</li><li id="""">documented installation models;&nbsp;</li><li id="""">documented contact points, including physical installation permissions;&nbsp;</li><li id="""">documentation and guidelines (and monitoring) for protecting device networks;&nbsp;</li><li id="""">how to safeguard connections and devices from vandalism or cyberattacks;&nbsp;</li><li id="""">edge computing device requirements and optimal location;&nbsp;</li><li id="""">IoT platform as a SaaS solution; source code licensing (e.g., open-source);&nbsp;</li><li id="""">machine learning model licensing;&nbsp;</li><li id="""">data licensing;&nbsp;</li><li id="""">API management;&nbsp;</li><li id="""">documented interfaces;&nbsp;</li><li id="""">data governance;&nbsp;</li><li id="""">access management to devices, data, interfaces, and applications.</li></ul><p id="""">‍</p>",https://cdn.prod.website-files.com/60b12ba7f99f5f63ddf349aa/650a9093fdc5045f2b9c8487_apiops%20cycles%20iot%20canvas.png,,,,9,,,,
API Identity and access management,identity-and-access-management,6101c6ebcdae68a8724b444c,6101c6ebcdae686c6d4b44e5,false,true,Wed Jul 28 2021 07:33:11 GMT+0000 (Coordinated Universal Time),Sat Oct 22 2022 13:26:26 GMT+0000 (Coordinated Universal Time),,8,,How to plan security for your APIs?,,,,,,"<h3>Identity</h3><p>Is there a need to identify users? What are the common identifiers between the API Consumer and the API (email, customer number, social security number)? How are the API consumer’s end-users authenticated?</p><h3>Identity, authorization and access management + securing data in all of it's stages</h3><p>Identity management, authorization, and access management are important for securing APIs, but also related to the applications consuming or providing the APIs. Sensitive information should always use token and session-based access, as the API-keys are in general never changed and are handled in plain language without any encryption, so someone can get access to them.</p><h3>Headers, tokens or URLs for authentication data</h3><ul><li>The best approach for securing APIs containing sensitive information and requiring user-level access management is to use OpenID Connect –capable authentication with JWT-tokens and claims.</li><li>This requires agreeing on how the applications get the token, how is the identity of end-users managed etc.</li><li>Sometimes API consuming clients have limitations on what types of authentication methods they can use.</li><li>Most consumers can use API-keys in headers, but some can only input URI-parameters. These types of consumers should not be allowed access to sensitive information at all, as the URI-parameters are logged during all points and are easily “sniffed”.</li></ul><p><br></p><p>‍</p>",,,,,7,locations-canvas,rest-api-design-guide,,api-consumer-experience
Interaction Canvas,interaction-canvas,6101c6ebcdae68a8724b444c,677efaab768aab4c0f776971,false,false,Wed Jan 08 2025 22:22:35 GMT+0000 (Coordinated Universal Time),Mon Jan 27 2025 12:23:10 GMT+0000 (Coordinated Universal Time),Mon Jan 27 2025 12:23:22 GMT+0000 (Coordinated Universal Time),12,https://cdn.prod.website-files.com/60b12ba7f99f5f63ddf349aa/677efa37ad2ec2a799930312_interactionCanvas.png,"Plan and design API interactions, focusing on workflows, inputs, outputs, and potential exceptions.","Begin with identifying core interactions and their objectives, followed by designing workflows and responses.","Involves product managers, architects, and developers to ensure workflows meet consumer expectations.",Improves user experience by ensuring APIs handle interactions intuitively and consistently.,"By pre-defining workflows, reduces ambiguity and accelerates API implementation.","<ul id=""""><li>Start with common use cases before handling edge cases.</li><li>Simulate interactions with mock data to validate workflows.</li><li>Document expected responses for successful and unsuccessful interactions.</li></ul>","<ol id=""""><li id="""">Interaction Goals: Define the purpose of each interaction.</li><li id="""">Inputs: Document required inputs for the interaction.</li><li id="""">Outputs: Define the expected outputs or responses.</li><li id="""">Workflow: Map the sequence of steps for the interaction.</li><li id="""">Exceptions: Identify and document potential exceptions or edge cases.</li><li id="""">Feedback: Include mechanisms for users to provide feedback on interactions.</li></ol>",https://cdn.prod.website-files.com/60b12ba7f99f5f63ddf349aa/677efa5da987bb04bf2584f3_interactionCanvas.svg,https://cdn.prod.website-files.com/60b12ba7f99f5f63ddf349aa/677efa5da987bb04bf2584f3_interactionCanvas.svg,,,16,api-value-proposition-canvas,domain-canvas,business-impact-canvas; capacity-canvas; locations-canvas,api-design
